venue_no,name,region,location,rating,no_of_reviews,price_text,price_type,price_numeric,capacity,min_capacity,max_capacity,url
V287,"The Oak Barn, Frame Farm",Kent,"Cranbrook, Kent",4.9,78.0,"From £2,500",venue,2500.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-oak-barn-frame-farm_198557.htm
V288,"No.42 by GuestHouse, Margate",Kent,"Margate, Kent",N/A,N/A,N/A,N/A,N/A,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/no-42-by-guesthouse-margate_362083.htm
V289,The Vines of Rochester,Kent,"Rochester, Kent",4.8,9.0,N/A,N/A,N/A,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/the-vines-of-rochester_277665.htm
V290,Solton Manor,Kent,"Dover, Kent",5.0,8.0,"From £3,000",venue,3000.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/solton-manor_8220.htm
V291,The Darenth,Kent,"Sevenoaks, Kent",5.0,134.0,N/A,N/A,N/A,"30 to 300
Guests",30.0,300.0,https://www.hitched.co.uk/wedding-venues/the-darenth_3783.htm
V292,The Spa Hotel,Kent,"Tunbridge Wells, Kent",5.0,136.0,From £150,meal,150.0,"50 to 228
Guests",50.0,228.0,https://www.hitched.co.uk/wedding-venues/the-spa-hotel_1358.htm
V293,Winters Barns,Kent,"Canterbury, Kent",5.0,209.0,"From £5,750",venue,5750.0,"15 to 200
Guests",15.0,200.0,https://www.hitched.co.uk/wedding-venues/winters-barns_6093.htm
V294,Cooling Castle Barn,Kent,"Rochester, Kent",5.0,275.0,N/A,N/A,N/A,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/cooling-castle-barn_1604.htm
V295,One Warwick Park Hotel,Kent,"Tunbridge Wells, Kent",4.9,24.0,"From £1,000",venue,1000.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/one-warwick-park-hotel_6821.htm
V296,Chapel House Estate,Kent,"Ramsgate, Kent",5.0,14.0,From £78,meal,78.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/chapel-house-estate_300132.htm
V297,Port Lympne Hotel & Reserve,Kent,"Lympne, Kent",5.0,75.0,From £199,meal,199.0,"2 to 120
Guests",2.0,120.0,https://www.hitched.co.uk/wedding-venues/port-lympne-hotel-reserve_1246.htm
V298,Salomons Estate,Kent,"Tunbridge Wells, Kent",5.0,44.0,From £28.50,meal,28.5,"1 to 250
Guests",1.0,250.0,https://www.hitched.co.uk/wedding-venues/salomons-estate_1355.htm
V299,The Castle Westenhanger,Kent,"Lympne, Kent",5.0,25.0,"From £8,150",venue,8150.0,"50 to 300
Guests",50.0,300.0,https://www.hitched.co.uk/wedding-venues/westenhanger-castle_3531.htm
V300,Lympne Castle,Kent,"Lympne, Kent",5.0,171.0,"From £5,000",venue,5000.0,"10 to 90
Guests",10.0,90.0,https://www.hitched.co.uk/wedding-venues/lympne-castle_185881.htm
V301,Chafford Park,Kent,"Tunbridge Wells, Kent",4.7,17.0,"From £3,300",venue,3300.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/chafford-park_7173.htm
V302,The Ferry House,Kent,"Sheerness, Kent",5.0,159.0,"From £5,050",venue,5050.0,"2 to 300
Guests",2.0,300.0,https://www.hitched.co.uk/wedding-venues/the-ferry-house_5711.htm
V303,Hayne House,Kent,"Lympne, Kent",5.0,71.0,From £50,meal,50.0,"20 to 150
Guests",20.0,150.0,https://www.hitched.co.uk/wedding-venues/hayne-house_5580.htm
V304,Bradbourne House,Kent,"West Malling, Kent",5.0,37.0,"From £3,550",venue,3550.0,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/bradbourne-house_5806.htm
V305,Westerham Golf Club,Kent,"Westerham, Kent",5.0,77.0,"From £5,000",venue,5000.0,"50 to 220
Guests",50.0,220.0,https://www.hitched.co.uk/wedding-venues/westerham-golf-club_5187.htm
V306,The Old Kent Barn,Kent,"Swingfield Minnis, Kent",5.0,35.0,"From £4,500",venue,4500.0,"20 to 250
Guests",20.0,250.0,https://www.hitched.co.uk/wedding-venues/the-old-kent-barn_6755.htm
V307,Chilston Park,Kent,"Lenham, Kent",4.9,58.0,From £45,meal,45.0,"2 to 120
Guests",2.0,120.0,https://www.hitched.co.uk/wedding-venues/chilston-park-hotel_1304.htm
V308,Leez Priory,Kent,Kent,5.0,189.0,From £100,meal,100.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/leez-priory_858.htm
V309,The Barn,Kent,"Tunbridge Wells, Kent",5.0,133.0,From £55,meal,55.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-barn_5596.htm
V310,Eastwell Manor,Kent,"Boughton Lees, Kent",5.0,19.0,From £52,meal,52.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/eastwell-manor_1241.htm
V311,"The Oak Barn, Frame Farm",Kent,"Cranbrook, Kent",4.9,78.0,"From £2,500",venue,2500.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-oak-barn-frame-farm_198557.htm
V312,"No.42 by GuestHouse, Margate",Kent,"Margate, Kent",N/A,N/A,N/A,N/A,N/A,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/no-42-by-guesthouse-margate_362083.htm
V313,The Vines of Rochester,Kent,"Rochester, Kent",4.8,9.0,N/A,N/A,N/A,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/the-vines-of-rochester_277665.htm
V314,Solton Manor,Kent,"Dover, Kent",5.0,8.0,"From £3,000",venue,3000.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/solton-manor_8220.htm
V315,The Darenth,Kent,"Sevenoaks, Kent",5.0,134.0,N/A,N/A,N/A,"30 to 300
Guests",30.0,300.0,https://www.hitched.co.uk/wedding-venues/the-darenth_3783.htm
V316,The Spa Hotel,Kent,"Tunbridge Wells, Kent",5.0,136.0,From £150,meal,150.0,"50 to 228
Guests",50.0,228.0,https://www.hitched.co.uk/wedding-venues/the-spa-hotel_1358.htm
V317,Winters Barns,Kent,"Canterbury, Kent",5.0,209.0,"From £5,750",venue,5750.0,"15 to 200
Guests",15.0,200.0,https://www.hitched.co.uk/wedding-venues/winters-barns_6093.htm
V318,Cooling Castle Barn,Kent,"Rochester, Kent",5.0,275.0,N/A,N/A,N/A,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/cooling-castle-barn_1604.htm
V319,One Warwick Park Hotel,Kent,"Tunbridge Wells, Kent",4.9,24.0,"From £1,000",venue,1000.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/one-warwick-park-hotel_6821.htm
V320,Chapel House Estate,Kent,"Ramsgate, Kent",5.0,14.0,From £78,meal,78.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/chapel-house-estate_300132.htm
V321,Port Lympne Hotel & Reserve,Kent,"Lympne, Kent",5.0,75.0,From £199,meal,199.0,"2 to 120
Guests",2.0,120.0,https://www.hitched.co.uk/wedding-venues/port-lympne-hotel-reserve_1246.htm
V322,Salomons Estate,Kent,"Tunbridge Wells, Kent",5.0,44.0,From £28.50,meal,28.5,"1 to 250
Guests",1.0,250.0,https://www.hitched.co.uk/wedding-venues/salomons-estate_1355.htm
V323,The Castle Westenhanger,Kent,"Lympne, Kent",5.0,25.0,"From £8,150",venue,8150.0,"50 to 300
Guests",50.0,300.0,https://www.hitched.co.uk/wedding-venues/westenhanger-castle_3531.htm
V324,Lympne Castle,Kent,"Lympne, Kent",5.0,171.0,"From £5,000",venue,5000.0,"10 to 90
Guests",10.0,90.0,https://www.hitched.co.uk/wedding-venues/lympne-castle_185881.htm
V325,Chafford Park,Kent,"Tunbridge Wells, Kent",4.7,17.0,"From £3,300",venue,3300.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/chafford-park_7173.htm
V326,The Ferry House,Kent,"Sheerness, Kent",5.0,159.0,"From £5,050",venue,5050.0,"2 to 300
Guests",2.0,300.0,https://www.hitched.co.uk/wedding-venues/the-ferry-house_5711.htm
V327,Hayne House,Kent,"Lympne, Kent",5.0,71.0,From £50,meal,50.0,"20 to 150
Guests",20.0,150.0,https://www.hitched.co.uk/wedding-venues/hayne-house_5580.htm
V328,Bradbourne House,Kent,"West Malling, Kent",5.0,37.0,"From £3,550",venue,3550.0,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/bradbourne-house_5806.htm
V329,Westerham Golf Club,Kent,"Westerham, Kent",5.0,77.0,"From £5,000",venue,5000.0,"50 to 220
Guests",50.0,220.0,https://www.hitched.co.uk/wedding-venues/westerham-golf-club_5187.htm
V330,The Old Kent Barn,Kent,"Swingfield Minnis, Kent",5.0,35.0,"From £4,500",venue,4500.0,"20 to 250
Guests",20.0,250.0,https://www.hitched.co.uk/wedding-venues/the-old-kent-barn_6755.htm
V331,Chilston Park,Kent,"Lenham, Kent",4.9,58.0,From £45,meal,45.0,"2 to 120
Guests",2.0,120.0,https://www.hitched.co.uk/wedding-venues/chilston-park-hotel_1304.htm
V332,Leez Priory,Kent,Kent,5.0,189.0,From £100,meal,100.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/leez-priory_858.htm
V333,The Barn,Kent,"Tunbridge Wells, Kent",5.0,133.0,From £55,meal,55.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-barn_5596.htm
V334,Eastwell Manor,Kent,"Boughton Lees, Kent",5.0,19.0,From £52,meal,52.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/eastwell-manor_1241.htm
V335,"The Oak Barn, Frame Farm",Kent,"Cranbrook, Kent",4.9,78.0,"From £2,500",venue,2500.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-oak-barn-frame-farm_198557.htm
V336,"No.42 by GuestHouse, Margate",Kent,"Margate, Kent",N/A,N/A,N/A,N/A,N/A,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/no-42-by-guesthouse-margate_362083.htm
V337,The Vines of Rochester,Kent,"Rochester, Kent",4.8,9.0,N/A,N/A,N/A,"40 to 120
Guests",40.0,120.0,https://www.hitched.co.uk/wedding-venues/the-vines-of-rochester_277665.htm
V338,Solton Manor,Kent,"Dover, Kent",5.0,8.0,"From £3,000",venue,3000.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/solton-manor_8220.htm
V339,The Darenth,Kent,"Sevenoaks, Kent",5.0,134.0,N/A,N/A,N/A,"30 to 300
Guests",30.0,300.0,https://www.hitched.co.uk/wedding-venues/the-darenth_3783.htm
V340,The Spa Hotel,Kent,"Tunbridge Wells, Kent",5.0,136.0,From £150,meal,150.0,"50 to 228
Guests",50.0,228.0,https://www.hitched.co.uk/wedding-venues/the-spa-hotel_1358.htm
V341,Winters Barns,Kent,"Canterbury, Kent",5.0,209.0,"From £5,750",venue,5750.0,"15 to 200
Guests",15.0,200.0,https://www.hitched.co.uk/wedding-venues/winters-barns_6093.htm
V342,Cooling Castle Barn,Kent,"Rochester, Kent",5.0,275.0,N/A,N/A,N/A,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/cooling-castle-barn_1604.htm
V343,One Warwick Park Hotel,Kent,"Tunbridge Wells, Kent",4.9,24.0,"From £1,000",venue,1000.0,"10 to 150
Guests",10.0,150.0,https://www.hitched.co.uk/wedding-venues/one-warwick-park-hotel_6821.htm
V344,Chapel House Estate,Kent,"Ramsgate, Kent",5.0,14.0,From £78,meal,78.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/chapel-house-estate_300132.htm
V345,Port Lympne Hotel & Reserve,Kent,"Lympne, Kent",5.0,75.0,From £199,meal,199.0,"2 to 120
Guests",2.0,120.0,https://www.hitched.co.uk/wedding-venues/port-lympne-hotel-reserve_1246.htm
V346,Salomons Estate,Kent,"Tunbridge Wells, Kent",5.0,44.0,From £28.50,meal,28.5,"1 to 250
Guests",1.0,250.0,https://www.hitched.co.uk/wedding-venues/salomons-estate_1355.htm
V347,The Castle Westenhanger,Kent,"Lympne, Kent",5.0,25.0,"From £8,150",venue,8150.0,"50 to 300
Guests",50.0,300.0,https://www.hitched.co.uk/wedding-venues/westenhanger-castle_3531.htm
V348,Lympne Castle,Kent,"Lympne, Kent",5.0,171.0,"From £5,000",venue,5000.0,"10 to 90
Guests",10.0,90.0,https://www.hitched.co.uk/wedding-venues/lympne-castle_185881.htm
V349,Chafford Park,Kent,"Tunbridge Wells, Kent",4.7,17.0,"From £3,300",venue,3300.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/chafford-park_7173.htm
V350,The Ferry House,Kent,"Sheerness, Kent",5.0,159.0,"From £5,050",venue,5050.0,"2 to 300
Guests",2.0,300.0,https://www.hitched.co.uk/wedding-venues/the-ferry-house_5711.htm
V351,Hayne House,Kent,"Lympne, Kent",5.0,71.0,From £50,meal,50.0,"20 to 150
Guests",20.0,150.0,https://www.hitched.co.uk/wedding-venues/hayne-house_5580.htm
V352,Bradbourne House,Kent,"West Malling, Kent",5.0,37.0,"From £3,550",venue,3550.0,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/bradbourne-house_5806.htm
V353,Westerham Golf Club,Kent,"Westerham, Kent",5.0,77.0,"From £5,000",venue,5000.0,"50 to 220
Guests",50.0,220.0,https://www.hitched.co.uk/wedding-venues/westerham-golf-club_5187.htm
V354,The Old Kent Barn,Kent,"Swingfield Minnis, Kent",5.0,35.0,"From £4,500",venue,4500.0,"20 to 250
Guests",20.0,250.0,https://www.hitched.co.uk/wedding-venues/the-old-kent-barn_6755.htm
V355,Chilston Park,Kent,"Lenham, Kent",4.9,58.0,From £45,meal,45.0,"2 to 120
Guests",2.0,120.0,https://www.hitched.co.uk/wedding-venues/chilston-park-hotel_1304.htm
V356,Leez Priory,Kent,Kent,5.0,189.0,From £100,meal,100.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/leez-priory_858.htm
V357,The Barn,Kent,"Tunbridge Wells, Kent",5.0,133.0,From £55,meal,55.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-barn_5596.htm
V358,Eastwell Manor,Kent,"Boughton Lees, Kent",5.0,19.0,From £52,meal,52.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/eastwell-manor_1241.htm
V359,"The Oak Barn, Frame Farm",Kent,"Cranbrook, Kent",4.9,78.0,"From £2,500",venue,2500.0,"2 to 200
Guests",2.0,200.0,https://www.hitched.co.uk/wedding-venues/the-oak-barn-frame-farm_198557.htm
V360,"No.42 by GuestHouse, Margate",Kent,"Margate, Kent",N/A,N/A,N/A,N/A,N/A,"10 to 100
Guests",10.0,100.0,https://www.hitched.co.uk/wedding-venues/no-42-by-guesthouse-margate_362083.htm
V361,Channels,Essex,"Little Waltham, Essex",5.0,38.0,From £70,meal,70.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/channels_852.htm
V362,Greenwoods Hotel Spa & Retreat,Essex,"Ingatestone, Essex",5.0,41.0,From £80,meal,80.0,"4 to 300
Guests",4.0,300.0,https://www.hitched.co.uk/wedding-venues/greenwoods-hotel-spa-retreat_853.htm
V363,Crondon Park,Essex,"Stock, Essex",5.0,1492.0,From £119,meal,119.0,"60 to 148
Guests",60.0,148.0,https://www.hitched.co.uk/wedding-venues/crondon-park_4138.htm
V364,Villiers Barn,Essex,"Thorpe-le-Soken, Essex",5.0,132.0,N/A,N/A,N/A,"30 to 190
Guests",30.0,190.0,https://www.hitched.co.uk/wedding-venues/villiers-barn_8695.htm
V365,The Essex Barn at the White Hart,Essex,"Great Yeldham, Essex",5.0,25.0,From £100,meal,100.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-essex-barn-at-the-white-hart_4127.htm
V366,The Lawn,Essex,"Rochford, Essex",5.0,438.0,"From £1,895",venue,1895.0,"15 to 150
Guests",15.0,150.0,https://www.hitched.co.uk/wedding-venues/the-lawn_850.htm
V367,Gosfield Hall,Essex,"Gosfield, Essex",4.9,202.0,From £100,meal,100.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/gosfield-hall_2889.htm
V368,The Georgian Mansion,Essex,"Halstead, Essex",N/A,N/A,"From £5,600",venue,5600.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-georgian-mansion_337411.htm
V369,Leez Priory,Essex,"Little Waltham, Essex",5.0,189.0,From £100,meal,100.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/leez-priory_858.htm
V370,The Roslin Beach Hotel,Essex,"Southend On Sea, Essex",5.0,19.0,N/A,N/A,N/A,"25 to 130
Guests",25.0,130.0,https://www.hitched.co.uk/wedding-venues/the-roslin-beach-hotel_6955.htm
V371,Wivenhoe House,Essex,"Colchester, Essex",5.0,19.0,From £125,meal,125.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/wivenhoe-house_878.htm
V372,Stock Brook Country Club,Essex,"Billericay, Essex",5.0,312.0,From £95,meal,95.0,"75 to 500
Guests",75.0,500.0,https://www.hitched.co.uk/wedding-venues/stock-brook-country-club_844.htm
V373,Vaulty Manor,Essex,"Goldhanger, Essex",5.0,242.0,From £99,meal,99.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/vaulty-manor_866.htm
V374,Hutton Hall,Essex,"Brentwood, Essex",5.0,14.0,"From £10,500",meal,10500.0,"40 to 150
Guests",40.0,150.0,https://www.hitched.co.uk/wedding-venues/hutton-hall_4319.htm
V375,Smeetham Hall Barn,Essex,"Sudbury (Suffolk-Essex Border), Essex",5.0,425.0,"From £6,999",venue,6999.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/smeetham-hall-barn_836.htm
V376,Hedsor House,Essex,Essex,5.0,129.0,"From £6,450",venue,6450.0,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/hedsor-house_5019.htm
V377,That Amazing Place,Essex,"Harlow, Essex",5.0,87.0,From £85,meal,85.0,"200
Guests",200.0,N/A,https://www.hitched.co.uk/wedding-venues/that-amazing-place_6276.htm
V378,Down Hall Hotel & Spa,Essex,"Hatfield Heath, Essex",5.0,312.0,From £165,meal,165.0,"2 to 180
Guests",2.0,180.0,https://www.hitched.co.uk/wedding-venues/down-hall-hotel_885.htm
V379,Newland Hall,Essex,"Chelmsford, Essex",4.9,113.0,"From £1,995",venue,1995.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/newland-hall_859.htm
V380,Creeksea Place,Essex,"Burnham on Crouch, Essex",5.0,232.0,From £150,meal,150.0,"30 to 200
Guests",30.0,200.0,https://www.hitched.co.uk/wedding-venues/creeksea-place_3290.htm
V381,Rivenhall Oaks Golf Centre,Essex,"Witham, Essex",5.0,3.0,From £65,meal,65.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/rivenhall-oaks-golf-centre_7968.htm
V382,Downham Hall,Essex,"Billericay, Essex",5.0,20.0,From £50,meal,50.0,"8 to 110
Guests",8.0,110.0,https://www.hitched.co.uk/wedding-venues/downham-hall_198013.htm
V383,Marygreen Manor Hotel,Essex,"Brentwood, Essex",5.0,50.0,From £125,meal,125.0,"20 to 150
Guests",20.0,150.0,https://www.hitched.co.uk/wedding-venues/marygreen-manor-hotel_842.htm
V384,The Manor at Bickley,Essex,Essex,5.0,4.0,From £120,meal,120.0,"40 to 490
Guests",40.0,490.0,https://www.hitched.co.uk/wedding-venues/the-manor-at-bickley_3287.htm
V385,Channels,Essex,"Little Waltham, Essex",5.0,38.0,From £70,meal,70.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/channels_852.htm
V386,Greenwoods Hotel Spa & Retreat,Essex,"Ingatestone, Essex",5.0,41.0,From £80,meal,80.0,"4 to 300
Guests",4.0,300.0,https://www.hitched.co.uk/wedding-venues/greenwoods-hotel-spa-retreat_853.htm
V387,Crondon Park,Essex,"Stock, Essex",5.0,1492.0,From £119,meal,119.0,"60 to 148
Guests",60.0,148.0,https://www.hitched.co.uk/wedding-venues/crondon-park_4138.htm
V388,Villiers Barn,Essex,"Thorpe-le-Soken, Essex",5.0,132.0,N/A,N/A,N/A,"30 to 190
Guests",30.0,190.0,https://www.hitched.co.uk/wedding-venues/villiers-barn_8695.htm
V389,The Essex Barn at the White Hart,Essex,"Great Yeldham, Essex",5.0,25.0,From £100,meal,100.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-essex-barn-at-the-white-hart_4127.htm
V390,The Lawn,Essex,"Rochford, Essex",5.0,438.0,"From £1,895",venue,1895.0,"15 to 150
Guests",15.0,150.0,https://www.hitched.co.uk/wedding-venues/the-lawn_850.htm
V391,Gosfield Hall,Essex,"Gosfield, Essex",4.9,202.0,From £100,meal,100.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/gosfield-hall_2889.htm
V392,The Georgian Mansion,Essex,"Halstead, Essex",N/A,N/A,"From £5,600",venue,5600.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-georgian-mansion_337411.htm
V393,Leez Priory,Essex,"Little Waltham, Essex",5.0,189.0,From £100,meal,100.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/leez-priory_858.htm
V394,The Roslin Beach Hotel,Essex,"Southend On Sea, Essex",5.0,19.0,N/A,N/A,N/A,"25 to 130
Guests",25.0,130.0,https://www.hitched.co.uk/wedding-venues/the-roslin-beach-hotel_6955.htm
V395,Wivenhoe House,Essex,"Colchester, Essex",5.0,19.0,From £125,meal,125.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/wivenhoe-house_878.htm
V396,Stock Brook Country Club,Essex,"Billericay, Essex",5.0,312.0,From £95,meal,95.0,"75 to 500
Guests",75.0,500.0,https://www.hitched.co.uk/wedding-venues/stock-brook-country-club_844.htm
V397,Vaulty Manor,Essex,"Goldhanger, Essex",5.0,242.0,From £99,meal,99.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/vaulty-manor_866.htm
V398,Hutton Hall,Essex,"Brentwood, Essex",5.0,14.0,"From £10,500",meal,10500.0,"40 to 150
Guests",40.0,150.0,https://www.hitched.co.uk/wedding-venues/hutton-hall_4319.htm
V399,Smeetham Hall Barn,Essex,"Sudbury (Suffolk-Essex Border), Essex",5.0,425.0,"From £6,999",venue,6999.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/smeetham-hall-barn_836.htm
V400,Hedsor House,Essex,Essex,5.0,129.0,"From £6,450",venue,6450.0,"150
Guests",150.0,N/A,https://www.hitched.co.uk/wedding-venues/hedsor-house_5019.htm
V401,That Amazing Place,Essex,"Harlow, Essex",5.0,87.0,From £85,meal,85.0,"200
Guests",200.0,N/A,https://www.hitched.co.uk/wedding-venues/that-amazing-place_6276.htm
V402,Down Hall Hotel & Spa,Essex,"Hatfield Heath, Essex",5.0,312.0,From £165,meal,165.0,"2 to 180
Guests",2.0,180.0,https://www.hitched.co.uk/wedding-venues/down-hall-hotel_885.htm
V403,Newland Hall,Essex,"Chelmsford, Essex",4.9,113.0,"From £1,995",venue,1995.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/newland-hall_859.htm
V404,Creeksea Place,Essex,"Burnham on Crouch, Essex",5.0,232.0,From £150,meal,150.0,"30 to 200
Guests",30.0,200.0,https://www.hitched.co.uk/wedding-venues/creeksea-place_3290.htm
V405,Rivenhall Oaks Golf Centre,Essex,"Witham, Essex",5.0,3.0,From £65,meal,65.0,"30 to 250
Guests",30.0,250.0,https://www.hitched.co.uk/wedding-venues/rivenhall-oaks-golf-centre_7968.htm
V406,Downham Hall,Essex,"Billericay, Essex",5.0,20.0,From £50,meal,50.0,"8 to 110
Guests",8.0,110.0,https://www.hitched.co.uk/wedding-venues/downham-hall_198013.htm
V407,Marygreen Manor Hotel,Essex,"Brentwood, Essex",5.0,50.0,From £125,meal,125.0,"20 to 150
Guests",20.0,150.0,https://www.hitched.co.uk/wedding-venues/marygreen-manor-hotel_842.htm
V408,The Manor at Bickley,Essex,Essex,5.0,4.0,From £120,meal,120.0,"40 to 490
Guests",40.0,490.0,https://www.hitched.co.uk/wedding-venues/the-manor-at-bickley_3287.htm
V409,Channels,Essex,"Little Waltham, Essex",5.0,38.0,From £70,meal,70.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/channels_852.htm
V410,Greenwoods Hotel Spa & Retreat,Essex,"Ingatestone, Essex",5.0,41.0,From £80,meal,80.0,"4 to 300
Guests",4.0,300.0,https://www.hitched.co.uk/wedding-venues/greenwoods-hotel-spa-retreat_853.htm
V411,Crondon Park,Essex,"Stock, Essex",5.0,1492.0,From £119,meal,119.0,"60 to 148
Guests",60.0,148.0,https://www.hitched.co.uk/wedding-venues/crondon-park_4138.htm
V412,Villiers Barn,Essex,"Thorpe-le-Soken, Essex",5.0,132.0,N/A,N/A,N/A,"30 to 190
Guests",30.0,190.0,https://www.hitched.co.uk/wedding-venues/villiers-barn_8695.htm
V413,The Essex Barn at the White Hart,Essex,"Great Yeldham, Essex",5.0,25.0,From £100,meal,100.0,"2 to 150
Guests",2.0,150.0,https://www.hitched.co.uk/wedding-venues/the-essex-barn-at-the-white-hart_4127.htm
V414,The Lawn,Essex,"Rochford, Essex",5.0,438.0,"From £1,895",venue,1895.0,"15 to 150
Guests",15.0,150.0,https://www.hitched.co.uk/wedding-venues/the-lawn_850.htm
V415,Gosfield Hall,Essex,"Gosfield, Essex",4.9,202.0,From £100,meal,100.0,"40 to 250
Guests",40.0,250.0,https://www.hitched.co.uk/wedding-venues/gosfield-hall_2889.htm
V416,The Georgian Mansion,Essex,"Halstead, Essex",N/A,N/A,"From £5,600",venue,5600.0,"50 to 150
Guests",50.0,150.0,https://www.hitched.co.uk/wedding-venues/the-georgian-mansion_337411.htm
V417,Leez Priory,Essex,"Little Waltham, Essex",5.0,189.0,From £100,meal,100.0,"50 to 250
Guests",50.0,250.0,https://www.hitched.co.uk/wedding-venues/leez-priory_858.htm
V418,The Roslin Beach Hotel,Essex,"Southend On Sea, Essex",5.0,19.0,N/A,N/A,N/A,"25 to 130
Guests",25.0,130.0,https://www.hitched.co.uk/wedding-venues/the-roslin-beach-hotel_6955.htm
V419,Wivenhoe House,Essex,"Colchester, Essex",5.0,19.0,From £125,meal,125.0,"10 to 200
Guests",10.0,200.0,https://www.hitched.co.uk/wedding-venues/wivenhoe-house_878.htm
V420,Stock Brook Country Club,Essex,"Billericay, Essex",5.0,312.0,From £95,meal,95.0,"75 to 500
Guests",75.0,500.0,https://www.hitched.co.uk/wedding-venues/stock-brook-country-club_844.htm
V421,Vaulty Manor,Essex,"Goldhanger, Essex",5.0,242.0,From £99,meal,99.0,"60 to 200
Guests",60.0,200.0,https://www.hitched.co.uk/wedding-venues/vaulty-manor_866.htm
V422,Hutton Hall,Essex,"Brentwood, Essex",5.0,14.0,"From £10,500",meal,10500.0,"40 to 150
Guests",40.0,150.0,https://www.hitched.co.uk/wedding-venues/hutton-hall_4319.htm
